Thu Dec 16 00:45:19 2021    output.dat

         18333277 function calls (17923685 primitive calls) in 9.899 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Player.py:5(__init__)
        2    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\enums\City.py:5(__str__)
        2    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\DrawDestinationsAction.py:27(execute)
        2    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\SelectDestinationAction.py:41(<listcomp>)
        2    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\SelectDestinationAction.py:29(execute)
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    9.893    9.893 D:\Programming\TicketToRideMCCFR_TDD\src\training\Trainer.py:46(training_step)
        1    0.000    0.000    9.898    9.898 D:\Programming\TicketToRideMCCFR_TDD\src\training\Performance.py:8(code_to_run)
        1    0.000    0.000    0.001    0.001 D:\Programming\TicketToRideMCCFR_TDD\src\training\Trainer.py:24(__init__)
        1    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:12(from_numbers)
        1    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Game.py:21(<dictcomp>)
        1    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Game.py:20(<dictcomp>)
        1    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\random.py:546(uniform)
        1    0.000    0.000    0.001    0.001 D:\Programming\TicketToRideMCCFR_TDD\src\game\Game.py:12(__init__)
        1    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Map.py:16(__init__)
        1    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Route.py:19(__str__)
        1    0.000    0.000    0.005    0.005 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:21(__str__)
        1    0.000    0.000    0.004    0.004 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:98(get_valid_action_ids)
        1    0.001    0.001    9.870    9.870 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionUtility.py:26(from_all_branches)
        1    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\ClaimRouteAction.py:27(__str__)
        1    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\multiarray.py:341(where)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(where)
        1    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\numerictypes.py:230(obj2sctype)
        1    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\fromnumeric.py:1117(_argmax_dispatcher)
        1    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\fromnumeric.py:1121(argmax)
